rank,city,company,website,state,founded,industry,metro
1200,Minneapolis,Triton Commerce,tritoncommerce.com,Minnesota,2012,Advertising & Marketing,Minneapolis
1201,Tucson,Spartan Armor Systems,spartanarmorsystems.com,Arizona,2012,Manufacturing,
1202,Weston,THE MIX GROUP,themixgroup.com,Florida,2003,Media,Miami
1203,Duluth,Banyan Hills Technologies,banyanhills.com,Georgia,2013,Software,Atlanta
1204,New York City,GlassesUSA.com,glassesusa.com,New York,2008,Retail,New York City
1205,Irvine,Agema Technology,agematech.com,California,2012,Business Products & Services,Los Angeles
1206,Round Rock,Flix Brewhouse,flixbrewhouse.com,Texas,2011,Food & Beverage,Austin
1207,Dripping Springs,NurturMe,nurturme.com,Texas,2011,Food & Beverage,Austin
1208,Encino,Edge Financial,stopirsdebt.com,California,2001,Financial Services,Los Angeles
1209,Columbus,Exacter,exacterinc.com,Ohio,2006,Software,"Columbus, OH"
1210,Bozeman,commonFont,commonfont.com,Montana,2013,IT System Development,
1211,Bethesda,Vysnova Partners,vysnova.com,Maryland,2012,Government Services,"Washington, DC"
1212,Islandia,Pharmapacks,pharmapacks.com,New York,2010,Retail,New York City
1213,Fort Lee,What If Holdings,whatifmediagroup.com,New Jersey,2012,Advertising & Marketing,New York City
1214,Milford,annLeo,annleo.com,Iowa,2011,Health,
1215,Tempe,FOR,forenergy.com,Arizona,2010,Construction,Phoenix
1216,Mooresville,1st Choice Construction Management,1choiceconstruction.com,North Carolina,2009,Construction,
1217,Flowood,Camellia Pharmacy Services,infusionplusrx.com,Mississippi,2013,Health,
1218,Salt Lake City,Bedrock Protection Agency,bedrockprotection.com,Utah,2013,Security,Salt Lake City
1219,Santa Ana,Nekter Juice Bar,nekterjuicebar.com,California,2010,Food & Beverage,Los Angeles
1220,Atlanta,PureCars Automotive,purecars.com,Georgia,2007,Advertising & Marketing,Atlanta
1221,Washington,Social Tables,socialtables.com,District of Columbia,2014,Software,"Washington, DC"
1222,Richmond,Productive AV,productiveav.com,Virginia,2010,Government Services,"Richmond, VA"
1223,Austin,Camp Gladiator,campgladiator.com,Texas,2008,Consumer Products & Services,Austin
1224,Englewood,DirectDefense,directdefense.com,Colorado,2011,Security,Denver
1225,Brooklyn,twelve NYC,twelvenyc.com,New York,2005,Business Products & Services,New York City
1226,La Jolla,Host Healthcare,hosthealthcare.com,California,2012,Health,San Diego
1227,St Louis,Vintech Solutions,vintech.com,Missouri,2010,Software,"St. Louis, MO-IL"
1228,Bentonville,RevUnit,revunit.com,Arkansas,2012,Business Products & Services,
1229,Knoxville,Axle Logistics,axlelogistics.com,Tennessee,2012,Logistics & Transportation,
1230,Westminster,Sales Partnerships,salespartnerships.com,Colorado,1997,Business Products & Services,Denver
1231,Chicago,Main Street Real Estate Group,mainstreetrealestategroup.com,Illinois,2014,Real Estate,Chicago
1232,Milford,GrapeTree Medical Staffing,grapetree.com,Iowa,1999,Health,
1233,San Francisco,Sauce Labs,saucelabs.com,California,2008,Software,San Francisco
1234,West Chester,"College Hunks Hauling Junk and Moving (West Chester, PA)",collegehunks.com/?westchester,Pennsylvania,2011,Consumer Products & Services,Philadelphia
1235,Waukesha,Intelligent Video Solutions,ipivs.com,Wisconsin,2013,Software,Milwaukee
1236,Tulsa,Momentum3,momentum3.biz,Oklahoma,2014,Software,"Tulsa, OK"
1237,Jenison,MCS Marketing Powered by Proforma,http://mcsmarketing.proforma.com,Michigan,2014,Business Products & Services,
1238,Santa Ana,P&P Imports,pandpimports.com,California,2007,Consumer Products & Services,Los Angeles
1239,Lakewood,Savewize Wholesale Distribution,savewize.com,New Jersey,2009,Consumer Products & Services,New York City
1240,West Palm Beach,Bluehawk,bluehawk.us,Florida,2012,Government Services,Miami
1241,San Diego,Siege Media,siegemedia.com,California,2013,Advertising & Marketing,San Diego
1242,Los Angeles,Stability Healthcare,stabilityhealthcare.com,California,2009,Health,Los Angeles
1243,Schaumburg,CAREPOINT PHARMACY,carepointrx.com,Illinois,2012,Health,Chicago
1244,Newark,The Credit Pros,thecreditpros.com,New Jersey,2009,Financial Services,New York City
1245,Houston,MPACT Strategic Consulting,mpact-consulting.com,Texas,2007,Business Products & Services,Houston
1246,Fairhope,Altaworx,altaworx.com,Alabama,2001,Telecommunications,
1247,Bloomington,GCE Solutions,gcesolutions.com,Illinois,2006,Health,
1248,Chicago,Bowa Construction,thebowagroup.com,Illinois,2009,Construction,Chicago
1249,Tampa,Trash Butler,trashbutler.com,Florida,2012,Consumer Products & Services,Tampa
1250,Washington,Elevate,elevatedeffect.com,District of Columbia,2013,Business Products & Services,"Washington, DC"
1251,Severna Park,CallTrackingMetrics,calltrackingmetrics.com,Maryland,2012,Software,Baltimore
1252,Fort Lauderdale,Future Energy Solutions,feslighting.com,Florida,2009,Business Products & Services,Miami
1253,Arlington,Mobile Posse,mobileposse.com,District of Columbia,2005,Advertising & Marketing,"Washington, DC"
1254,Swannanoa,Symmetry Financial Group,sfglife.com,North Carolina,2009,Insurance,"Asheville, NC"
1255,Hamilton,ARC Risk and Compliance,arcriskandcompliance.com,New Jersey,2009,Financial Services,
1256,Seattle,MedBridge,medbridgeeducation.com,Washington,2011,Health,Seattle
1257,North Riverside,BisonOffice,bisonoffice.com,Illinois,2011,Business Products & Services,Chicago
1258,New Haven,GEM Advertising,gem-advertising.com,Connecticut,2008,Advertising & Marketing,
1259,Vienna,Credence Management Solutions,credence-llc.com,Virginia,2005,Government Services,"Washington, DC"
1260,Irving,Lightbeam Health,lightbeamhealth.com,Texas,2012,Health,Dallas
1261,Durham,Corecompete,corecompete.com,North Carolina,2012,IT System Development,"Durham, NC"
1262,Milwaukee,DYNAMIC SOLUTIONS WORLDWIDE,dynatrap.com,Wisconsin,2010,Retail,Milwaukee
1263,Huntsville,R2C SUPPORT SERVICES,r2c-ss.com,Alabama,2011,Government Services,"Huntsville, AL"
1264,Harris,Smilepoint PLLC,smilepoint.us,Texas,2012,Health,Houston
1265,Palo Alto,Topix,topix.com,California,2004,Media,San Jose
1266,St Petersburg,Dental Partners,dental-partners.com,Florida,2011,Health,Tampa
1267,Jacksonville,JWB Real Estate Capital,jwbrec.com,Florida,2006,Real Estate,"Jacksonville, FL"
1268,Valley Stream,Trinity Logistics USA,trinityworld.com,New York,2007,Logistics & Transportation,New York City
1269,Miami Gardens,Sergio's Catering,sergioscatering.com,Florida,2012,Food & Beverage,Miami
1270,Cincinnati,Custom Pro Logistics,customprologistics.com,Ohio,2013,Logistics & Transportation,Cincinnati
1271,Oakland,Farber & Company Attorneys,farberandco.com,California,1994,Consumer Products & Services,San Francisco
1272,Dania,Q LINK WIRELESS,qlinkwireless.com,Florida,2011,Telecommunications,Miami
1273,Navarre,Ramsey & Walker,ramsey-walker.com,Florida,2012,Construction,
1274,Wilmington,Off The Hook Yacht Sales,offthehookyachts.com,North Carolina,2012,Retail,
1275,Fountain Valley,Origaudio,origaudiopromo.com,California,2009,Consumer Products & Services,Los Angeles
1276,Mount Laurel,Advanced Computer Solutions Group,advancedcsg.net,New Jersey,2009,IT Management,Philadelphia
1277,El Cajon,Semper Solaris,sempersolaris.com,California,2012,Energy,San Diego
1278,Las Vegas,Signature Real Estate Group,signaturenv.com,Nevada,2013,Real Estate,"Las Vegas, NV"
1279,Nashville,Senior Market Advisors,seniormarketadvisors.com,Tennessee,2007,Insurance,Nashville
1280,Irvine,Avanath Capital Management,avanath.com,California,2008,Real Estate,Los Angeles
1281,Fayetteville,ZENWORK,zenwork.com,Arkansas,2011,Software,
1282,Denver,EcoMark Solar,ecomarkusa.com,Colorado,2010,Energy,Denver
1283,Annapolis,CICONIX,ciconix.com,Maryland,2012,Government Services,Baltimore
1284,Danvers,NetCov Managed IT Services,netcov.com,Massachusetts,2013,IT Management,Boston
1285,Edgewojd,L2 Defense,l2defense.com,Maryland,2012,Government Services,Baltimore
,,,,,,,
1286,Haddonfield,VSA,vsaprospecting.com,New Jersey,2001,Business Products & Services,Philadelphia
1287,San Antonio,Silotech Group,silotechgroup.com,Texas,2008,IT Management,"San Antonio, TX"
1288,Eagan,Prime Therapeutics,primetherapeutics.com,Minnesota,1998,Health,Minneapolis
1289,Arlington,Enterprise Knowledge,enterprise-knowledge.com,Virginia,2013,Business Products & Services,"Washington, DC"
1290,Columbus,pH7 architects,ph7architects.com,Ohio,2006,Engineering,"Columbus, OH"
1291,Drexel Hill,STRATEGIC SOLUTION PARTNERS,strategicsolutionpartners.com,Pennsylvania,2007,Travel & Hospitality,Philadelphia
1292,Baton Rouge,Emergent Method,emergentmethod.com,Louisiana,2012,Business Products & Services,"Baton Rouge, LA"
1293,Salt Lake City,Western Peaks Logistics,deliverthewest.com,Utah,2007,Logistics & Transportation,Salt Lake City
1294,Baton Rouge,PPMG,ppmgrp.com,Louisiana,2011,Construction,"Baton Rouge, LA"
1295,Virginia Beach,Axis Global Enterprises,axisge.com,Virginia,2009,Government Services,Virginia Beach
1296,Daphne,Fulcrum Construction Group,fulcrum-construction.com,Alabama,2012,Construction,
1297,Park City,Zerelli Technologies,zerelli.com,Utah,2008,Manufacturing,Salt Lake City
1298,Carlsbad,SOR Technology,sortechnology.com,California,2004,Travel & Hospitality,San Diego
1299,New York City,ClinicalMind,clinicalmind.com,New York,2012,Health,New York City
1300,Duarte,Semihandmade,semihandmadedoors.com,California,2012,Consumer Products & Services,Los Angeles
1301,Vero Beach,BlueDog,yourbluedog.com,Florida,2010,Business Products & Services,
1302,Annandale,Language on Demand,visitlod.com,Virginia,2008,Government Services,"Washington, DC"
1303,Clearwater,Advanced Medical Integration,amidoctors.com,Florida,2013,Health,Tampa
1304,Hendersonville,Energy Lighting Services,elsco.org,Tennessee,2010,Energy,Nashville
1305,Chicago,Mabbly,mabbly.com,Illinois,2013,Advertising & Marketing,Chicago
1306,Gaithersburg,Homespire Mortgage,homespiremortgage.com,Maryland,2006,Financial Services,"Washington, DC"
1307,Arlington,SecureStrux,securestrux.com,Virginia,2008,Security,"Washington, DC"
1308,San Mateo,Suite Experience Group,suiteexperiencegroup.com,California,2010,Travel & Hospitality,San Francisco
1309,Culver City,Sidebench,sidebench.com,California,2012,Business Products & Services,Los Angeles
1310,San Francisco,Clinical Management Consultants,clinicalmanagementconsultants.com,California,2010,Health,San Francisco
1311,Franklin,Petra Coach,petracoach.com,Tennessee,2011,Business Products & Services,Nashville
1312,New York City,Patron Technology,patrontechnology.com,New York,2001,Software,New York City
1313,Inglewood,SPONGELLE,spongelle.com,California,2013,Manufacturing,Los Angeles
1314,Danvers,CyPhy Works,cyphyworks.com,Massachusetts,2008,Business Products & Services,Boston
1315,Rolling Meadows,CCS Technology Group,ccstechnologygroup.com,Illinois,1998,IT Management,Chicago
1316,Burbank,Industrial Motor Power Coporation,impcorporation.com,California,1984,Retail,Los Angeles
1317,Waterville,F3 MFG,f3mfg.com,Maine,2010,Manufacturing,
1318,Santa Ana,Allied Universal,aus.com,California,1965,Security,Los Angeles
1319,Indianapolis,Barratt Asset Management,barrattassetmanagement.com,Indiana,2010,Real Estate,"Indianapolis, IN"
1320,Boston,Apptopia,apptopia.com,Massachusetts,2011,Business Products & Services,Boston
1321,Las Vegas,Cultiva,cultivaipm.com,Nevada,2011,Manufacturing,"Las Vegas, NV"
1322,Naperville,Youtech & Associates,youtechassociates.com,Illinois,2012,Advertising & Marketing,Chicago
1323,Columbus,Piedmont Payment Services,piedmontpays.com,Georgia,2012,Insurance,
1324,Radcliff,Ruffle Girl,rufflegirl.com,Kentucky,2013,Retail,
1325,Seattle,OMNI ePartners,omniepartners.com,Washington,2014,Advertising & Marketing,Seattle
1326,New York City,PeopleDoc,people-doc.com,New York,2008,Human Resources,New York City
1327,Leesburg,THE BUILDING PEOPLE,thebuildingpeople.com,Virginia,2013,Real Estate,"Washington, DC"
1328,Columbus,Vantage Point Logistics,vantagepointlogistics.com,Ohio,2011,Logistics & Transportation,"Columbus, OH"
1329,Houston,Gulf Coast Crating,gulfcoastcrating.com,Texas,2013,Logistics & Transportation,Houston
1330,Centennial,Aureus Techsystems,aureustechsystems.com,Colorado,2008,Software,Denver
1331,Aspen,UpperRanchCo,upperranchco.com,Colorado,2004,Human Resources,Denver
1332,Bingham Farms,Provision Insurnace Group,provisionagency.com,Michigan,2013,Insurance,Detroit
1333,Amarillo,Altura Engineering & Design,alturaengineering.com,Texas,2013,Engineering,
1334,Austin,ReviewPush,reviewpush.com,Texas,2011,Software,Austin
1335,St Paul,FireFly Computers,fireflycomputers.com,Minnesota,2011,Computer Hardware,Minneapolis
1336,Hayward,Fourandhalf,fourandhalf.com,California,2012,Advertising & Marketing,San Francisco
1337,Nashville,Peachtree Tents & Events,peachtreetents.com,Tennessee,2006,Business Products & Services,Nashville
1338,San Diego,CPC Strategy,cpcstrategy.com,California,2007,Advertising & Marketing,San Diego
1339,Callifornia,Incedo,incedoinc.com,California,2011,IT Management,San Jose
1340,Falls Church,Syntelligent Analytic Solutions,syntelligent.com,Virginia,2010,Government Services,"Washington, DC"
1341,Tempe,A1 Garage Door Service and Repair,a1garage.com,Arizona,2008,Consumer Products & Services,Phoenix
1342,Miami,Bore Tech Utilities & Maintenance,bore-tech.net,Florida,2011,Construction,Miami
1343,Durham,BridgePoint Construction,bridgepointnc.com,North Carolina,2007,Construction,"Durham, NC"
1344,Portland,OBrien General Contracting & Design,obrien-co.com,Oregon,2011,Construction,"Portland, OR"
1345,Suwanee,Real Estate Expert Advisors,tracycousineau.com,Georgia,2011,Real Estate,Atlanta
1346,Lakewood,"Vesta (Lakewood, CO)",vestahm.com,Colorado,2011,Construction,"Portland, OR"
1347,Ellicott City,Intelliforce-IT Solutions Group,intelliforce-itsg.com,Maryland,2011,Government Services,Baltimore
1348,Fort Wayne,Hoosier Hill Farm,hoosierhillfarm.com,Indiana,2009,Food & Beverage,
1349,Greenwood Village,Nexus Technologies,nexustek.com,Colorado,1996,IT Management,Denver
1350,Valencia,Scorpion,scorpion.co,California,2001,Advertising & Marketing,Los Angeles
1351,Springfield,Sun Solar,ussunsolar.com,Missouri,2012,Energy,"Springfield, MO"
1352,Fairfax,CVP (Customer Value Partners),cvpcorp.com,Virginia,2003,Business Products & Services,"Washington, DC"
1353,Kaukauna,Tundraland Home Improvements,tundraland.com,Wisconsin,2009,Construction,
1354,Hatboro,Legacy Service,legacyusa.com,Pennsylvania,2005,Construction,Philadelphia
1355,Bound Brook,Fitz's Fish Ponds,fitzfishponds.com,New Jersey,2009,Construction,New York City
1356,Strongsville,National Automotive Experts/NWAN,naenwan.com,Ohio,1996,Business Products & Services,Cleveland
1357,Missouri City,Viceroy Petroleum,viceroypetroleum.com,Texas,2007,Energy,Houston
1358,San Diego,Dave Burgess Consulting,daveburgessconsulting.com,California,2012,Education,San Diego
1359,Woodbury,Bookkeeper360,bookkeeper360.com,New York,2012,Financial Services,New York City
1360,Fairfax,DIGITALSPEC,digitalspec.net,Virginia,2005,IT Management,"Washington, DC"
1361,Loveland,Oodle,oodle.io,Ohio,2009,Advertising & Marketing,Cincinnati
1362,Broomfield,Conga,getconga.com,Colorado,2006,IT System Development,Denver
1363,Houston,MedSource,medsource.com,Texas,1997,Health,Dallas
1364,Edmond,TokenEx,tokenex.com,Oklahoma,2010,Software,"Oklahoma City, OK"
1365,Stafford,Radley Staffing,radleystaffing.com,Texas,2009,Human Resources,Houston
1366,Lehi,Cubby's,cubbys.co,Utah,2012,Food & Beverage,"Provo-Orem, UT"
1367,Boston,Downeast Cider House,downeastcider.com,Massachusetts,2011,Food & Beverage,Boston
1368,Fort Worth,Tara Wilson Agency,tarawilson.com,Texas,2007,Advertising & Marketing,Dallas
1369,Minneapolis,Mighty Spark Food Co.,mightysparkfood.com,Minnesota,2010,Food & Beverage,Minneapolis
1370,San Marcos,Total Technology Results,totaltr.com,California,2011,Computer Hardware,San Diego
1371,Valencia,Tri Source International,trisourcebpo.com,California,2013,Business Products & Services,Los Angeles
1372,Salt Lake City,Foursight Capital,foursight.com,Utah,2012,Financial Services,Salt Lake City
1373,Austin,Becker Wright Consultants,beckerwrightconsultants.com,Texas,2003,Human Resources,Austin
1374,Philadelphia,OPS Security Group,opssecuritygroup.com,Pennsylvania,2012,Security,Philadelphia
1375,Covina,Med Aesthetics Group,medaestheticsgroup.com,California,2014,Advertising & Marketing,Los Angeles
1376,Asheville,Security Camera Warehouse,security-camera-warehouse.com,North Carolina,2010,Security,"Asheville, NC"
1377,Glassboro,Critical Environments Group,criticaleg.com,New Jersey,2014,Business Products & Services,Philadelphia
1378,New York City,Vee Technologies,veeusa.com,New York,2004,Business Products & Services,New York City
1379,Mesa,FlexPrint Managed Print Solutions,flexprintinc.com,Arizona,2005,Business Products & Services,Phoenix
1380,San Francisco,Marine Layer,marinelayer.com,California,2010,Retail,San Francisco
1381,Henderson,SBGA,sbga.com,Nevada,2013,Business Products & Services,"Las Vegas, NV"
1382,New York City,LG Fairmont,lgfairmont.com,New York,2010,Real Estate,New York City
1383,Arlington,IDS International Government Services,idsinternational.com,Virginia,2006,Government Services,"Washington, DC"
1384,Asheville,Blueprint Summer Programs,bpsummerprograms.com,North Carolina,2007,Education,"Asheville, NC"
1385,Marietta,Synartis Health Services,synartis.net,Georgia,2011,Financial Services,Atlanta
1386,Marietta,High Road Craft Ice Cream,highroadcraft.com,Georgia,2010,Food & Beverage,Atlanta
1387,San Francisco,Little Passports,littlepassports.com,California,2009,Consumer Products & Services,San Francisco
1388,Raleigh,VICTRA,victra.com,North Carolina,1996,Retail,"Raleigh, NC"
1389,Fulton,WOOD Consulting Services,woodcons.com,Maryland,1997,Government Services,Baltimore
1390,Pasadena,Douglas Realty,joindouglasrealty.com,Maryland,2008,Real Estate,Baltimore
1391,Portland,Adpearance,adpearance.com,Oregon,2009,Advertising & Marketing,"Portland, OR"
1392,Aberdeen,Quantico Tactical,quanticotactical.com,North Carolina,1999,Government Services,
1393,Weston,Golden Gate BPO Solutions,goldengatebpo.com,Florida,2006,Business Products & Services,Miami
1394,Fairfield,Common Cents Distributors,commoncentsdistributors.com,New Jersey,2013,Consumer Products & Services,New York City
1395,Odenton,EnDepth Solutions,endepthsolutions.com,Maryland,2010,Government Services,Baltimore
1396,Chicago,Avant,avant.com,Illinois,2012,Financial Services,Chicago
1397,Washington D.C.,Cradle Systems,cradlesystems.com,District of Columbia,2012,IT Management,"Washington, DC"
1398,Guilderland Center,Remarkable Liquids,remarkableliquids.com,New York,2012,Food & Beverage,"Albany-Schenectady-Troy, NY"
1399,Cedar Rapids,Converge Consulting,convergeconsulting.org,Iowa,2011,Education,
1400,Fort Lauderdale,Hayes Healthcare,hayeslocums.com,Florida,2012,Health,Miami
1401,Schaumburg,Neo Prism Solutions,neoprisminc.com,Illinois,2011,IT System Development,Chicago
1402,Washington,Oasys,oasysic.com,District of Columbia,2011,Government Services,"Washington, DC"
1403,Miami,Staffing Specifix,staffingspecifix.com,Florida,2011,Human Resources,Miami
1404,Clifton Park,G&G LED Lighting,ggled.net,New York,2010,Manufacturing,"Albany-Schenectady-Troy, NY"
1405,Stevenson Ranch,AGILISIUM CONSULTING,agileiss.com,California,2013,IT System Development,Los Angeles
1406,Austin,Texan Allergy and Sinus Center,texanallergy.com,Texas,2013,Health,Austin
1407,St Pete Beach,Gulf Beach Weddings,gulfbeachweddings.com,Florida,2011,Travel & Hospitality,Tampa
1408,Jacksonville,MAER Construction,maerconstruction.com,Florida,2010,Construction,"Jacksonville, FL"
1409,Denver,Apto,apto.com,Colorado,2012,Software,Denver
1410,Kingman,1-Call Staffing,1-callstaffing.com,Arizona,2013,Human Resources,
1411,Camden,WO Cantey Services,canteycanfixit.com,South Carolina,2014,Construction,"Columbia, SC"
1412,Chattanooga,LMS (Logistics Made Simple),lmsonline.com,Tennessee,,Logistics & Transportation,
1413,Santa Clara,Tiger Analytics,tigeranalytics.com,California,2011,Software,San Jose
1414,Bedford,Crimson Building Company,crimsonbuilders.com,Texas,2011,Construction,Dallas
1415,Greenbelt,Paradyme Management,paradymemanagement.com,Maryland,2003,IT System Development,"Washington, DC"
1416,Seattle,Level 11,level11.com,Washington,2009,Software,Seattle
1417,Raleigh,SoftDev,softdevconsulting.com,North Carolina,1999,Government Services,"Raleigh, NC"
1418,Troy,APPS SOLUTIONS,appssolutionsinc.com,Michigan,2010,IT System Development,Detroit
1419,Chicago,TopstepTrader,topsteptrader.com,Illinois,2012,Financial Services,Chicago
1420,Santa Monica,MomentFeed,momentfeed.com,California,2010,Software,Los Angeles
1421,San Diego,Beer Home Team,sandiegohomefinder.com,California,2005,Real Estate,San Diego
1422,Powell,Mac's LTC Pharmacy Solutions,macsltc.com,Tennessee,2012,Health,
1423,El Dorado Hills,SlideBelts,slidebelts.com,California,2007,Retail,"Sacramento, CA"
1424,Hyattsville,CMT Services,cmtservicesinc.com,Maryland,2008,Government Services,"Washington, DC"
1425,San Diego,gosite.com,gosite.com,California,2013,Software,San Diego
1426,Charlotte,VRG Components,vrgcomponents.com,North Carolina,2014,Logistics & Transportation,Charlotte
1427,Alpharetta,Nam Technologies,nam-tech.com,Georgia,2003,IT System Development,Atlanta
1428,Fairfax,Nationwide IT Services,nw-its.com,Virginia,2006,IT Management,"Washington, DC"
1429,Gilbert,Windy City Equipment (WCE),wcecommercial.com,Arizona,2003,Construction,Phoenix
1430,San Francisco,ID4A Technologies,id4a.com,California,2011,Manufacturing,San Francisco
1431,Houston,Onit,onit.com,Texas,2010,Software,Houston
1432,Los Angeles,Gimbal,gimbal.com,California,2012,Advertising & Marketing,Los Angeles
1433,Needham,MedMinder,medminder.com,Massachusetts,2007,Consumer Products & Services,Boston
1434,Springfield,Little Sunshine's Playhouse,littlesunshine.com,Missouri,2002,Education,"Springfield, MO"
1435,McLean,Artemis Consulting,artemisconsultinginc.com,Virginia,1999,IT Management,"Washington, DC"
1436,New York City,Full Circle Home,fullcirclehome.com,New York,2009,Consumer Products & Services,New York City
1437,Baltimore,Arch Systems,archsystemsinc.com,Maryland,2006,Government Services,Baltimore
1438,Lakewood,Banquest Payment Systems,banquest.com,New Jersey,2011,Financial Services,New York City
1439,"Rutherford, Napa",ONEHOPE,onehopewine.com,California,2007,Consumer Products & Services,
1440,Toledo,Ohio Cashflow,engelorumora.com,Ohio,2014,Real Estate,
1441,Ashburn,Core Nutritionals,corenutritionals.com,Virginia,2004,Health,"Washington, DC"
1442,New York City,Socialfly,socialflyny.com,New York,2012,Advertising & Marketing,New York City
1443,Purcellville,Lowers Risk Group,lowersriskgroup.com,Virginia,2011,Business Products & Services,"Washington, DC"
1444,Boston,Zerto,zerto.com,Massachusetts,2009,IT Management,Boston
1445,Fort Worth,StraCon Services Group,stracongroup.com,Texas,2008,Government Services,Dallas
1446,Dallas,Digital Pi,digitalpi.com,Texas,2013,Advertising & Marketing,Dallas
1447,Seattle,Shaw + Scott,shawscott.com,Washington,2009,Advertising & Marketing,Seattle
1448,Houston,Enchanted Rock,erockhold.com,Texas,2006,Energy,Houston
1449,Boston,BlueWave Solar,bluewavesolar.com,Massachusetts,2012,Energy,Boston
1450,Minooka,Income Store,incomestore.com,Illinois,2009,Business Products & Services,Chicago
1451,Overland Park,Prism Real Estate Services,prismres.com,Kansas,2012,Real Estate,"Kansas City, MO-KS"
1452,Hot Springs,Winchoice USA,winchoiceusa.net,Arkansas,2011,Construction,
1453,San Francisco,NinthDecimal,ninthdecimal.com,California,2003,Advertising & Marketing,San Francisco
1454,Beverly,GreenBanana SEO,greenbananaseo.com,Massachusetts,2009,Advertising & Marketing,Boston
1455,Boynton Beach,Paradise Exteriors,paradiseexteriors.com,Florida,2007,Construction,Miami
1456,New York City,Ceros,ceros.com,New York,2012,Software,New York City
1457,Columbus,Compton Construction,comptonllc.com,Ohio,2012,Construction,"Columbus, OH"
1458,Boynton Beach,WagPantry.com,wagpantry.com,Florida,2012,Retail,Miami
1459,Minneapolis,Easy Song Licensing,easysonglicensing.com,Minnesota,2005,Media,Minneapolis
1460,North Charleston,Equiscript,equiscript.com,South Carolina,2009,Health,"Charleston, SC"
1461,Beaumont,Renesent,renesent.com,California,2012,Business Products & Services,"Inland Empire, CA"
1462,Aurora,American Financing,americanfinancing.net,Colorado,1999,Financial Services,Denver
1463,Atlanta,Courier Connection,courierconnection.com,Georgia,1999,Logistics & Transportation,Atlanta
1464,Washington,Contactually,contactually.com,District of Columbia,2011,Software,"Washington, DC"
1465,Brooklyn,Prolific Interactive,prolificinteractive.com,New York,2009,Advertising & Marketing,New York City
1466,Atlanta,The RADCO Companies,radco.us,Georgia,1994,Real Estate,Atlanta
1467,New York City,Scoro,scoro.com,New York,2013,Software,New York City
1468,Downers Grove,Sevan Multi-Site Solutions,sevansolutions.com,Illinois,2011,Construction,Chicago
1469,Santa Monica,GumGum,gumgum.com,California,2008,Advertising & Marketing,Los Angeles
1470,Redmond,Quadrant Resource,quadrantresource.com,Washington,2004,Software,Seattle
1471,Atlanta,Urjanet,urjanet.com,Georgia,2010,Software,Atlanta
1472,Silver Spring,SoundWay,soundwayconsulting.com,Maryland,2011,Government Services,"Washington, DC"
1473,Redwood City,Delphix,delphix.com,California,2008,IT Management,San Francisco
1474,Chicago,YCharts,ycharts.com,Illinois,2009,Software,Chicago
1475,Dallas,Access Healthcare Services,accesshealthcare.org,Texas,2011,Health,Dallas
1476,Kennewick,Ashby Law,pnwfamilylaw.com,Washington,2012,Consumer Products & Services,
1477,Rolling Meadows,Scotty Gear Retail,ww.scottygeargreek.com,Illinois,2012,Retail,Chicago
1478,Dallas,Katydid,katydid.com,Texas,2003,Consumer Products & Services,Dallas
1479,Austin,Local Web Leads,drivinglocalleads.com,Texas,2013,Advertising & Marketing,Austin
1480,St George,"2:20 Marketing Group, LLC/Xurli",xurli.com,Utah,2006,Advertising & Marketing,
1481,Phoenix,OH Partners,ohpartners.com,Arizona,2008,Advertising & Marketing,Phoenix
1482,Portland,Brandlive,yourbrandlive.com,Oregon,2012,Software,"Portland, OR"
1483,Aberdeen,My Place Hotels of America,myplacehotels.com,South Dakota,2012,Travel & Hospitality,
1484,Paso Robles,A.M. Sun Solar,amsunsolar.com,California,2012,Energy,
1485,Haltom City,Mars Services,marsservices.com,Texas,2011,Construction,Dallas
1486,Fishers,Hubstaff,hubstaff.com,Indiana,2013,Software,"Indianapolis, IN"
1487,Buffalo Grove,MistHub,misthub.com,Illinois,2013,Retail,Chicago
1488,Bellevue,Surge,surgeforward.com,Washington,2007,IT System Development,Seattle
1489,Chicago,CareMerge,caremerge.com,Illinois,2012,Health,Chicago
1490,St Louis,Atredis Partners,atredis.com,Missouri,2013,Security,"St. Louis, MO-IL"
1491,Dallas,ActivTrak,activtrak.com,Texas,2012,Software,Dallas
1492,Meadow Vista,Natix,natix.com,California,2012,Business Products & Services,"Sacramento, CA"
1493,Germantown,Uber Bazaar,uberbazaar.com,Maryland,2013,Retail,"Washington, DC"
1494,Irvine,PriceSpider,pricespider.com,California,2004,Software,Los Angeles
1495,Springfield,GigSalad,gigsalad.com,Missouri,2007,Consumer Products & Services,"Springfield, MO"
1496,Greenacres,National Tax Group,ntgadvantage.com,Florida,2009,Engineering,Miami
1497,Las Vegas,Luxury Estates International,luxuryestates.com,Nevada,2014,Real Estate,"Las Vegas, NV"
,,,,,,,
1498,Longwood,Shot Vet,shotvet.com,Florida,2014,Health,"Orlando, FL"
1499,Metairie,Abadie-Williams,abadie-williams.com,Louisiana,2013,Engineering,New Orleans
1500,Roswell,OTR Capital,otrcapital.com,Georgia,2011,Financial Services,Atlanta
1501,Culver City,MedMen,medmen.com,California,2010,Retail,Los Angeles
1502,Chicago,SoMe Connect,someconnect.com,Illinois,2011,Advertising & Marketing,Chicago
1503,Raleigh,MacGregor Partners,macgregorpartners.com,North Carolina,2012,Logistics & Transportation,"Raleigh, NC"
